BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
115427,124191,138387,N,N,am,eng,American learned societies.,"Kiger, Joseph Charles.",American learned societies.,,,(OCoLC)ocm00699683,[1963],Public Affairs Press,1963,aastx,AS25 .K5,AS   25            K 5,,,1,1,"=""31811010370495""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
10579,12238,14229,N,N,am,eng,Pursuit of knowledge in the early American Republic : American scientific and learned societies from colonial times to the Civil War / edited by Alexandra Oleson and Sanborn C. Brown.,,Pursuit of knowledge in the early American Republic : American scientific and learned societies from colonial times to the Civil War /,,0801816793,(OCoLC)ocm01958213,c1976.,"Johns Hopkins University Press,",1976,aastx,AS25 .P87,AS   25            P 87,,,1,1,"=""31811010370453""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
444915,530616,596031,N,N,am,eng,Polish institutions of higher learning.,"Wepsiec, Jan, 1909-",Polish institutions of higher learning.,,,(OCoLC)ocm02872215,1959.,"Polish Institute of Arts and Sciences in America,",1959,aastx,AS258 .W4,AS  258            W 4,,,1,1,"=""31811010748013""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
339116,367956,409920,N,N,am,eng,American humour in England before Mark Twain.,"Enkvist, Nils Erik.",American humour in England before Mark Twain.,,,(OCoLC)ocm04843544,1953.,"Abo akademi,",1953,aastx,AS262 .A3VOL.21NO.3,AS  262            A 3 VOL .21 NO .3,,,1,1,"=""31811010748278""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
250764,274759,308967,N,N,am,eng,Pythagorean texts of the Hellenistic period.,"Thesleff, Holger.",Pythagorean texts of the Hellenistic period.,,,(OCoLC)ocm01084692,1965.,"A¿¿bo Akademi,",1965,aastx,AS262 .A3VOL.30NR.1,AS  262            A 3 VOL .30 NR .1,,,1,1,"=""31811010748286""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,12/4/2012
331463,360022,401336,N,N,am,eng,Toba Indians of the Bolivian Gran Chaco.,"Karsten, Rafael, 1879-1956.",Toba Indians of the Bolivian Gran Chaco.,,,(OCoLC)ocm01108629,1967.,"Anthropological Publications,",1967,aastx,AS262 .A3VOL.4NO.41967,AS  262            A 3 VOL .4 NO .41967,,,1,1,"=""31811010037524""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
322462,350783,391485,N,N,am,eng,Soviet Academy of Sciences [by] Alexander Vucinich.,"Vucinich, Alexander, 1914-",Soviet Academy of Sciences,,,(OCoLC)ocm00778569,1956.,"Stanford University Press,",1956,aastx,AS262.A68 V8,AS  262            A 68   V 8,,,1,1,"=""31811010748054""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
397781,429551,478788,N,N,am,und,ETHICS AND EPISTEMOLOGY IN JOHN LOCKE'S ESSAY CONCERNING HUMAN UNDERSTANDING.,"Petza¿¿ll, A¿¿ke, 1901-",ETHICS AND EPISTEMOLOGY IN JOHN LOCKE'S ESSAY CONCERNING HUMAN UNDERSTANDING.,,,se 00001710,1937.,,1937,aastx,AS284 .G6VOL.43NO.21937R,AS  284            G 6 VOL .43 NO .21937 R,,,1,1,"=""31811010748245""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
320718,348952,389435,N,N,am,eng,Apomixis in higher plants.,"Gustafsson, A¿¿ke, 1908-",Apomixis in higher plants.,,,(OCoLC)ocm03139049,[1946-,C. W. K. Gleerup,1946,aastx,AS284 .L82,AS  284            L 82,Bd.42 Nr.3 Bd.43 Nr.2 Bd.43 Nr.12,,1,1,"=""31811012021641""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
364633,394346,438398,N,N,am,eng,"English hundred-names, by Olof S. Anderson.","Arngart, O.S. (Olof Sigfrid), 1905-","English hundred-names,",,,(OCoLC)ocm01967565,1934.,"Printed by H. Ohlsson,",1934,aastx,AS284 .L8BD.30NR.1,AS  284            L 8 BD .30 NR .1,,,1,1,"=""31811010748393""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
483157,515525,578452,N,N,am,eng,English hundred-names;,"Arngart, O.S. (Olof Sigfrid), 1905-",English hundred-names;,,,(OCoLC)ocm29077189,"[etc., etc., 1939].",C. W. K. Cleerup;,1939,aastx,AS284 .L8BD.35NR.5,AS  284            L 8 BD .35 NR .5,,,1,1,"=""31811010748336""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
98567,106337,118955,N,N,am,eng,Some types of narrative in Chaucers¿¿ poetry.,"Schaar, Claes.",Some types of narrative in Chaucers¿¿ poetry.,,,(OCoLC)ocm00871396,[1954],C.W.K. Gleerup,1954,aastx,AS284 .L8BD.50NR.8,AS  284            L 8 BD .50 NR .8,,,1,1,"=""31811010748344""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
184526,201983,226904,N,N,am,eng,Middle English word studies.,"Zettersten, Arne.",Middle English word studies.,,,(OCoLC)ocm02634572,[1964],"CWK Gleerup,",1964,aastx,"AS284 .L8BD.56,NR.1","AS  284            L 8 BD .56 , NR .1",,,1,1,"=""31811010748401""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
311753,339688,379302,N,N,am,eng,Logic of nonsense.,"Hallde¿¿n, So¿¿ren.",Logic of nonsense.,,,(OCoLC)ocm00625343,[1949],Lundequistska Bokhandeln,1949,aastx,AS284.U71949 NO.9,AS  284            U 71949   NO .9,,,1,1,"=""31811010748369""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,7/7/2003
458143,621193,697384,N,N,as,eng,Brigham Young University studies.,Brigham Young University.,Brigham Young University studies.,,,(OCoLC)ocm01537085,,Brigham Young University],1959,aastx,AS30 .B7,AS   30            B 7,"vol. 24, no. 3",,3,1,"=""31811012847177""",aastx,Book Collection,SERIAL NONCIRC,,,,4/21/2002,5/11/2004,,
595020,621193,697384,N,N,aa,eng,"Mormon Trail network in Nebraska, 1846-1868 : a new look / Stanley B. Kimball","Kimball, Stanley Buchholz.","Mormon Trail network in Nebraska, 1846-1868 : a new look / Stanley B. Kimball",,,(OCoLC)ocm55118634,1984?],"Brigham Young University Press,",1984,aastx,AS30 .B7,AS   30            B 7,"vol. 24, no. 3",,3,1,"=""31811012847177""",aastx,Book Collection,SERIAL NONCIRC,,,,5/11/2004,5/11/2004,,
103539,111491,124613,N,N,as,eng,Wingspread lectures in the humanities.,,Wingspread lectures in the humanities.,,,(OCoLC)ocm01746474,c1966-,"The Johnson Foundation,",1966,aastx,AS30 .W5,AS   30            W 5,v.1,,1,1,"=""31811012029289""",aastx,Book Collection,SERIAL 16/8/4 WK,,,,4/21/2002,,,
121243,130448,145230,N,N,am,eng,Guide book to the ruins of Quirigua / by Sylvanus G. Morley.,"Morley, Sylvanus Griswold, 1883-1948.",Guide book to the ruins of Quirigua /,,,(OCoLC)ocm01843467,1935.,"Carnegie institution of Washington,",1935,aastx,AS32.A513 NO.16,AS   32            A 513   NO .16,,,1,1,"=""31811010370404""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,10/9/2007
61687,67034,74012,N,N,am,ger,Kontinuita¿¿t-Diskontinuita¿¿t in den Geisteswissenschaften. Hrsg. u. eingel. v. Hans Tru¿¿mpy.,,Kontinuita¿¿t-Diskontinuita¿¿t in den Geisteswissenschaften.,,,(OCoLC)ocm00881698,1973.,"Wissenschaftliche Buchgesellschaft,",1973,aastx,AS322.S38 K66,AS  322            S 38   K 66,,,1,1,"=""31811010748294""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
405260,437365,487682,N,N,am,eng,STO GODNI BULGARSKA AKADEMIIA,Bu¿¿lgarska akademii¿¿¿a¿¿¿ na naukite. T¿¿¿S¿¿¿entralna biblioteka.,STO GODNI BULGARSKA AKADEMIIA,,,se 00001719,,,,aastx,AS343 .S6174,AS  343            S 6174,v.1,,1,1,"=""31811003180521""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
427273,460519,514180,N,N,am,eng,BULGARSKA AKADEMIIA NA NAUKITE.,"Bozhkov, Stoi¿¿ko",BULGARSKA AKADEMIIA NA NAUKITE.,,,se 00001720,1969.,,1969,aastx,AS343 .S6182,AS  343            S 6182,,,1,1,"=""31811010748302""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
91008,98390,110469,N,N,am,eng,Excellence and equity : the National Endowment for the Humanities / Stephen Miller.,"Miller, Stephen, 1941-",Excellence and equity : the National Endowment for the Humanities /,,0813115043 :,(OCoLC)ocm10072650,1984.,"University Press of Kentucky,",1984,aastx,AS35 .M551984,AS   35            M 551984,,,1,1,"=""31811010370370""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
395595,427320,476451,N,N,am,und,"STUDIES IN ARTICULATION OF HIGH SCHOOL AND COLLEGE, WITH SPECIAL REFERENCE TO THE SUPERIOR STUDENT.","Jones, Edward S. (Edward Safford), 1888-","STUDIES IN ARTICULATION OF HIGH SCHOOL AND COLLEGE, WITH SPECIAL REFERENCE TO THE SUPERIOR STUDENT.",,,se 01011401,1934.,,1934,aastx,AS36 .B95VOL.9,AS   36            B 95 VOL .9,,,1,1,"=""31811010369711""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
211773,232342,261558,N,N,am,eng,"Economics of the Iroquois, by Sara Henry Stites.","Stites, Sara Henry, 1877-","Economics of the Iroquois,",,,(OCoLC)ocm02922216,1905.,,1905,aastx,AS36 .B9VOL.1NO.3,AS   36            B 9 VOL .1 NO .3,,,1,1,"=""31811010369679""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,5/25/2006
72851,78964,87836,N,N,am,eng,"Quest of American life, by George Norlin.","Norlin, George, 1871-1942.","Quest of American life,",,,(OCoLC)ocm02462682,1945.,,1945,aastx,AS36 .C63VOL.2NO.3,AS   36            C 63 VOL .2 NO .3,,,1,1,"=""31811010369752""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
